credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,0.1496,194.02,10.71441777,4,667,3180.041667,3839,76.8,0,0,1,1
1,all_other,0.1114,131.22,11.00209984,11.08,722,5116,24220,68.6,0,0,0,1
1,credit_card,0.1343,678.08,11.88448902,10.15,682,4209.958333,41674,74.1,0,0,0,1
1,all_other,0.1059,32.55,10.43382164,14.47,687,1110,4485,36.9,1,0,0,1
1,small_business,0.1501,225.37,12.26904744,6.45,677,6240,56411,75.3,0,0,0,1
1,home_improvement,0.0964,80.26,11.22524339,20,772,4920.958333,269,3.8,3,0,0,1
1,home_improvement,0.128,84,10.37349118,20,682,5492,3408,35.1,1,0,0,1
1,debt_consolidation,0.1122,507.46,10.59663473,13.5,712,5368.958333,6513,34.3,3,0,1,1
1,small_business,0.0964,642.02,11.47210347,2.86,737,2190,10296,42.5,0,0,0,1
1,small_business,0.1154,104.76,9.61580548,12.24,672,1289.958333,2867,55.1,3,0,0,1
1,small_business,0.1501,73.68,11.47210347,16.89,702,4080,51,0,0,0,0,1
1,credit_card,0.1217,266.37,11.15625052,10.2,672,3598.958333,26283,39.5,0,1,0,1
1,debt_consolidation,0.1375,263.09,11.03811028,9.8,677,3089.958333,12231,81,3,0,0,1
1,debt_consolidation,0.1249,301.04,10.57131693,5.08,667,3690,26233,62.9,3,0,1,1
1,all_other,0.1028,150.66,10.727663,3.26,687,6509.958333,105,35,1,1,0,1
1,small_business,0.1217,166.48,9.210340372,0,662,2250,875,54.7,2,1,0,1
1,debt_consolidation,0.1249,70.25,9.433483923,14.4,662,1469,458,91.6,1,0,0,1
1,educational,0.1249,100.35,10.2791805,12.77,662,1110,566,51.5,3,1,0,1
1,all_other,0.1091,163.49,10.57131693,11.78,707,4889,5406,33.4,0,0,1,1
1,all_other,0.0996,32.25,10.46310334,5.83,687,2158.958333,1188,3,2,0,0,1
1,all_other,0.1059,72.42,11.00209984,8.14,707,4800,20511,62,1,0,0,1
1,debt_consolidation,0.1312,162.01,11.35040654,16.87,707,9059.958333,34776,54.3,0,0,0,1
1,debt_consolidation,0.128,839.95,11.22524339,24.85,722,6330,62739,74.7,3,0,0,1
1,all_other,0.1059,269.31,11.59910316,24.01,767,4665.958333,29901,71.2,2,0,0,1
1,debt_consolidation,0.1091,505.16,11.69524702,16.97,697,9659,57196,44.5,3,0,0,1
1,home_improvement,0.0901,318.05,12.52452638,2.97,712,4919,481,80.2,2,0,0,1
1,debt_consolidation,0.1122,223.34,10.83958091,18.68,682,1889.041667,9495,87.9,2,0,0,1
1,small_business,0.0901,795.11,13.33100224,3.83,782,3660,148829,6.6,5,0,0,1
1,educational,0.1028,29.16,9.392661929,16.7,687,2069,3084,65.6,3,0,0,1
1,debt_consolidation,0.1154,527.93,10.70099475,12.16,682,2130,34023,57.7,1,2,0,1
1,debt_consolidation,0.1186,165.74,10.59663473,7.02,667,2789.041667,2197,75.8,0,2,0,1
1,all_other,0.1028,158.76,10.69194491,15.3,692,4410,88,23.8,1,3,0,1
1,all_other,0.0996,322.49,11.19134184,10.28,702,4920.041667,3943,98.6,3,0,0,1
1,debt_consolidation,0.1217,132.35,10.20359214,23.2,702,5279.041667,4504,39.2,1,0,0,1
1,major_purchase,0.1186,530.36,11.36674295,15.1,682,3900,348,4.8,0,0,0,1
1,small_business,0.1154,659.91,11.47210347,17.81,707,3629,93,0,2,0,0,1
1,debt_consolidation,0.1217,319.64,11.00209984,19.28,672,4740,10358,91.7,2,0,1,1
1,all_other,0.1217,93.23,10.71441777,19.19,692,4440.041667,88,44,1,3,0,1
1,small_business,0.1438,859.07,11.28978191,20.79,682,3059.041667,30946,61.5,3,0,0,1
1,debt_consolidation,0.128,483.81,10.49460201,8.47,662,2670.041667,7104,93.5,2,0,0,1
1,small_business,0.0964,802.47,11.22524339,17.06,767,5691.041667,12017,12.1,4,0,0,1
1,debt_consolidation,0.1091,817.41,11.19821472,22.13,737,9900,3472,4.5,1,0,0,1
1,small_business,0.0933,798.84,11.51292546,1.57,762,6359.041667,17,0.1,5,0,0,1
1,all_other,0.0933,319.54,10.50506754,19.46,727,4470.041667,827,6.6,2,0,0,1
1,home_improvement,0.1407,764.64,11.81303006,3.66,672,5790,10753,52.3,2,3,0,1
1,debt_consolidation,0.1249,301.04,11.00209984,4.64,662,2222,8355,34.4,0,2,0,1
1,small_business,0.147,862.97,11.3736634,5.79,677,4739,4209,75.2,2,0,0,1
1,all_other,0.0775,62.45,10.08580911,2.4,742,2290.041667,949,55.8,1,0,0,1
1,home_improvement,0.1375,851.41,11.22524339,19.78,687,2399.041667,12308,43.6,2,0,0,1
1,all_other,0.1122,155.19,9.893437217,23.03,717,2580,4500,13,0,0,0,1
1,credit_card,0.0964,288.89,11.62625415,10.36,702,6119,27786,85.5,2,0,1,1
1,all_other,0.0933,87.88,11.62625415,13.46,702,6120,27786,85.5,2,0,1,1
1,all_other,0.1046,259.87,11.69524702,11.28,692,5018.041667,63580,80.6,1,0,0,1
1,debt_consolidation,0.133,406.07,10.20359214,7.16,662,1530.041667,137,3.2,1,1,0,1
1,small_business,0.1393,170.72,10.54534144,20.72,662,7109.041667,16613,18.3,1,1,0,1
1,debt_consolidation,0.1236,133.55,10.81977828,8.66,662,6839.041667,9380,44.1,1,0,1,1
1,small_business,0.1236,701.12,10.77895629,0.85,682,2579,639,13.6,1,0,0,1
1,all_other,0.0743,69.14,11.69524702,7.67,762,6007.041667,21521,29.5,1,0,0,1
1,home_improvement,0.1078,313.3,11.02190247,14.06,702,5700.041667,4781,15.5,2,0,0,1
1,debt_consolidation,0.0807,225.86,11.02190247,17,762,5340.041667,9366,40.7,4,0,0,1
1,debt_consolidation,0.1267,536.57,11.42081018,10.13,677,5280.041667,23129,79.8,0,1,0,1
1,all_other,0.1109,262.26,11.1844214,5.12,687,1949.041667,14653,95.1,0,0,0,1
1,debt_consolidation,0.0775,101.47,10.49127422,2.73,742,2550,2353,12.4,0,0,0,1
1,debt_consolidation,0.1299,673.79,10.77895629,18.98,682,4830.041667,13649,42.4,1,0,0,1
1,debt_consolidation,0.1488,692.14,11.23848862,7.11,667,3899.041667,15773,95,0,0,0,1
1,debt_consolidation,0.1299,370.59,10.86856845,17.94,667,3269,17771,52.1,2,0,0,1
1,major_purchase,0.0775,312.22,10.08580911,0,787,3809.041667,5028,12.1,0,0,0,1
1,all_other,0.1078,70.17,9.308283446,19.15,692,2399.041667,1,0.2,2,0,1,1
1,debt_consolidation,0.133,406.07,10.71441777,4.67,662,2849,7209,38.1,1,0,0,1
1,debt_consolidation,0.1172,82.71,11.03488966,19.29,677,4319,7180,34.4,3,0,0,1
1,small_business,0.133,338.39,11.69524702,6.31,662,6150,28653,89.3,0,0,0,1
1,credit_card,0.092,306.18,11.03488966,13.12,742,5250.041667,24406,40.3,1,0,0,1
