,Cust_Id,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness,label
0,1,1,Detractor,N,4,5,Married,Tier1,Card,7,M,call,2,5,4,8,5,2
1,2,7,Passives,N,4,6,Not Married,Tier2,e-Wallet,5,F,m-comm,8,10,6,4,3,0
2,3,0,Detractor,N,4,7,Married,Tier3,Cash,1,M,call,4,2,7,8,2,2
3,4,0,Detractor,N,4,1,Not Married,Tier1,Ziggy Credit,1,F,call,9,3,4,10,5,2
4,5,4,Detractor,N,4,10,Married,Tier2,Card,6,M,call,7,1,6,7,4,2
5,6,10,Promoter,N,4,7,Married,Tier1,e-Wallet,8,F,m-comm,10,6,4,2,10,1
6,7,0,Detractor,N,4,3,Married,Tier1,Cash,7,M,call,9,4,3,3,1,2
7,8,1,Detractor,N,4,7,Not Married,Tier2,Ziggy Credit,4,F,call,9,1,5,10,2,2
8,9,6,Detractor,N,4,7,Married,Tier3,Card,4,M,call,5,5,10,1,1,0
9,10,9,Promoter,N,4,5,Married,Tier3,e-Wallet,10,F,m-comm,7,10,7,7,8,1
10,11,4,Detractor,N,4,9,Married,Tier2,Cash,4,M,call,10,1,1,1,6,2
11,12,8,Passives,Y,4,1,Not Married,Tier3,Ziggy Credit,7,F,call,6,2,1,7,3,2
12,13,2,Detractor,N,4,4,Married,Tier1,Card,3,M,call,9,3,6,6,3,2
13,14,7,Passives,N,4,9,Not Married,Tier2,e-Wallet,1,F,m-comm,9,3,9,8,7,2
14,15,6,Detractor,N,4,3,Married,Tier3,Cash,7,M,call,7,8,5,2,9,1
15,16,6,Detractor,N,4,10,Not Married,Tier1,Ziggy Credit,3,F,call,10,5,8,5,4,2
16,17,6,Detractor,N,4,3,Married,Tier2,Card,5,M,call,10,2,6,10,4,2
17,18,2,Detractor,N,4,5,Not Married,Tier3,e-Wallet,4,F,call,4,4,10,4,8,2
18,19,4,Detractor,N,4,4,Married,Tier1,Cash,4,M,call,10,2,7,6,4,2
19,20,3,Detractor,N,4,4,Not Married,Tier2,Ziggy Credit,5,F,call,10,9,8,8,3,0
20,21,8,Passives,Y,4,8,Married,Tier3,Card,4,M,call,4,7,6,6,6,1
21,22,0,Detractor,Y,4,10,Not Married,Tier1,e-Wallet,4,F,e-comm,10,9,5,1,6,0
22,23,5,Detractor,Y,4,2,Married,Tier2,Cash,1,M,e-comm,10,1,3,9,4,2
23,24,10,Promoter,N,4,7,Married,Tier1,Ziggy Credit,10,F,e-comm,10,9,5,4,8,1
24,25,0,Detractor,Y,4,1,Married,Tier1,Card,2,M,e-comm,9,10,5,3,3,0
25,26,1,Detractor,Y,4,3,Not Married,Tier2,e-Wallet,6,F,e-comm,9,7,5,4,4,0
26,27,1,Detractor,N,4,10,Married,Tier3,Cash,4,M,call,5,6,2,1,2,0
27,28,9,Promoter,N,4,5,Married,Tier1,Ziggy Credit,10,F,m-comm,10,5,10,5,10,1
28,29,10,Promoter,Y,4,4,Married,Tier1,Card,9,M,m-comm,9,2,7,5,9,1
