,Cust_id,Age,Annual_Income_Lacs,Twitter User,Number of Vehicles,Gender,Married,Daily hours of work,Affluent_Lifestyle,No of Dependents,Urban_residence,Social,Outstation_Travel_last_year,Values
0,9400,15,1.0,1,4,0,1,12,1,6,1,1,1,0
1,8418,15,1.7,1,3,0,1,12,1,4,1,1,4,0
2,10559,15,1.8,1,2,0,1,12,1,3,1,1,4,0
3,9924,15,1.8,1,2,0,1,15,1,6,1,1,6,0
4,9823,15,2.1,1,5,0,1,13,1,3,1,1,1,0
5,8995,15,2.1,1,1,0,1,12,1,5,1,1,3,0
6,10472,15,2.3,1,4,0,1,9,1,7,1,1,7,0
7,2480,15,2.7,1,4,0,1,12,0,5,1,1,2,0
8,6744,15,2.8,1,1,0,1,9,1,1,1,1,3,0
9,9571,15,3.8,1,2,0,1,10,1,2,1,1,4,0
10,1422,15,3.8,1,3,0,1,14,0,8,1,1,0,0
11,7839,15,4.0,1,4,0,1,9,1,6,1,1,1,0
12,9375,15,4.9,1,2,0,1,14,1,4,1,1,1,0
13,1457,15,4.9,1,2,0,1,12,0,6,1,1,2,0
14,1351,15,5.0,1,1,0,1,10,0,3,1,1,4,0
15,1454,15,5.1,1,2,0,1,12,0,3,1,1,0,0
16,9624,15,5.5,1,3,0,1,12,1,3,1,1,2,0
17,8314,15,5.6,1,4,0,1,12,1,5,1,1,0,0
18,6074,15,5.9,1,3,0,1,12,1,8,1,1,5,0
19,6750,15,5.9,1,5,0,1,15,1,1,1,1,5,0
20,10808,15,6.2,1,4,0,1,14,1,3,1,1,3,0
21,4600,15,6.3,1,1,0,1,15,0,8,1,1,3,0
22,4599,15,6.4,1,5,0,1,10,0,7,1,1,1,0
23,4252,15,6.5,1,3,0,1,10,0,2,1,1,6,0
24,8096,15,6.5,1,4,0,1,11,1,5,1,1,6,0
25,1834,15,6.6,1,4,0,1,10,0,5,1,1,0,0
26,9393,15,6.8,1,5,0,1,14,1,5,1,1,1,0
27,8120,15,8.2,1,3,0,1,11,1,7,1,1,0,0
28,7414,15,8.7,1,3,0,1,12,1,7,1,1,7,0
29,8894,15,8.7,1,3,0,1,11,1,7,1,1,6,0
30,64,15,8.9,1,2,0,1,15,0,1,1,1,5,0
31,1981,15,9.1,1,2,0,1,11,0,2,1,1,1,0
32,1892,15,9.3,1,2,0,1,12,0,8,1,1,5,0
33,295,15,9.4,1,4,0,1,11,0,4,1,1,1,0
34,1402,15,9.8,1,4,0,1,12,0,3,1,1,1,0
35,490,15,10.1,1,4,0,1,12,0,7,1,1,10,0
36,4071,15,10.3,1,5,0,1,14,0,6,1,1,1,0
37,9132,15,10.7,1,2,0,1,13,1,6,1,1,7,0
38,8642,15,11.5,1,4,0,1,15,1,4,1,1,7,0
39,2113,15,11.6,1,2,0,1,11,0,8,1,1,1,0
40,10273,15,11.9,1,3,0,1,12,1,3,1,1,1,0
41,3134,15,11.9,1,5,0,1,12,0,2,1,1,3,0
42,5000,15,12.2,1,4,0,1,11,0,3,1,1,3,0
43,3961,15,12.2,1,2,0,1,10,0,6,1,1,3,0
