,Age,Annual_Income_Lacs,Twitter User,Number of Vehicles,Gender,Married,Daily hours of work,Affluent_Lifestyle,No of Dependents,Urban_residence,Social,Outstation_Travel_last_year,labels
0,15,1.0,1,4,0,1,12,1,6,1,1,1,1
1,15,1.7,1,3,0,1,12,1,4,1,1,4,1
2,15,1.8,1,2,0,1,12,1,3,1,1,4,1
3,15,1.8,1,2,0,1,15,1,6,1,1,6,1
4,15,2.1,1,5,0,1,13,1,3,1,1,1,1
5,15,2.1,1,1,0,1,12,1,5,1,1,3,1
6,15,2.3,1,4,0,1,9,1,7,1,1,7,1
7,15,2.7,1,4,0,1,12,0,5,1,1,2,1
8,15,2.8,1,1,0,1,9,1,1,1,1,3,1
9,15,3.8,1,2,0,1,10,1,2,1,1,4,1
10,15,3.8,1,3,0,1,14,0,8,1,1,0,1
11,15,4.0,1,4,0,1,9,1,6,1,1,1,1
12,15,4.9,1,2,0,1,14,1,4,1,1,1,1
13,15,4.9,1,2,0,1,12,0,6,1,1,2,1
14,15,5.0,1,1,0,1,10,0,3,1,1,4,1
15,15,5.1,1,2,0,1,12,0,3,1,1,0,1
16,15,5.5,1,3,0,1,12,1,3,1,1,2,1
17,15,5.6,1,4,0,1,12,1,5,1,1,0,1
18,15,5.9,1,3,0,1,12,1,8,1,1,5,1
19,15,5.9,1,5,0,1,15,1,1,1,1,5,1
20,15,6.2,1,4,0,1,14,1,3,1,1,3,1
21,15,6.3,1,1,0,1,15,0,8,1,1,3,1
22,15,6.4,1,5,0,1,10,0,7,1,1,1,1
23,15,6.5,1,3,0,1,10,0,2,1,1,6,1
24,15,6.5,1,4,0,1,11,1,5,1,1,6,1
25,15,6.6,1,4,0,1,10,0,5,1,1,0,1
26,15,6.8,1,5,0,1,14,1,5,1,1,1,1
27,15,8.2,1,3,0,1,11,1,7,1,1,0,1
28,15,8.7,1,3,0,1,12,1,7,1,1,7,1
29,15,8.7,1,3,0,1,11,1,7,1,1,6,1
30,15,8.9,1,2,0,1,15,0,1,1,1,5,1
31,15,9.1,1,2,0,1,11,0,2,1,1,1,1
32,15,9.3,1,2,0,1,12,0,8,1,1,5,1
33,15,9.4,1,4,0,1,11,0,4,1,1,1,1
34,15,9.8,1,4,0,1,12,0,3,1,1,1,1
35,15,10.1,1,4,0,1,12,0,7,1,1,10,1
36,15,10.3,1,5,0,1,14,0,6,1,1,1,1
37,15,10.7,1,2,0,1,13,1,6,1,1,7,1
38,15,11.5,1,4,0,1,15,1,4,1,1,7,1
39,15,11.6,1,2,0,1,11,0,8,1,1,1,1
40,15,11.9,1,3,0,1,12,1,3,1,1,1,1
41,15,11.9,1,5,0,1,12,0,2,1,1,3,1
42,15,12.2,1,4,0,1,11,0,3,1,1,3,1
43,15,12.2,1,2,0,1,10,0,6,1,1,3,1
44,15,12.6,1,3,0,1,14,0,6,1,1,0,1
45,15,12.7,1,1,0,1,12,1,2,1,1,8,1
46,15,12.9,1,4,0,1,11,0,5,1,1,3,1
47,15,12.9,1,5,0,1,12,0,3,1,1,4,1
48,15,13.4,1,3,0,1,14,0,2,1,1,1,1
49,15,14.0,1,4,0,1,14,0,6,1,1,9,1
50,15,14.5,1,4,0,1,12,0,3,1,1,2,1
51,15,14.6,1,3,0,1,9,1,6,1,1,10,1
52,15,15.1,1,3,0,1,13,0,6,1,1,4,1
53,15,15.1,1,2,0,1,11,0,1,1,1,0,1
54,15,15.9,1,1,0,1,10,0,3,1,1,7,1
55,15,16.1,1,1,0,1,13,0,5,1,1,3,1
56,15,16.2,1,4,0,1,10,1,8,1,1,10,1
