,Age,Annual_Income_Lacs,Twitter User,Number of Vehicles,Gender,Married,Daily hours of work,Affluent_Lifestyle,No of Dependents,Urban_residence,Social,Outstation_Travel_last_year,labels
0,15,1.0,1,4,0,1,12,1,6,1,1,1,0
1,15,1.7,1,3,0,1,12,1,4,1,1,4,0
2,15,1.8,1,2,0,1,12,1,3,1,1,4,0
3,15,1.8,1,2,0,1,15,1,6,1,1,6,0
4,15,2.1,1,5,0,1,13,1,3,1,1,1,0
5,15,2.1,1,1,0,1,12,1,5,1,1,3,0
6,15,2.3,1,4,0,1,9,1,7,1,1,7,0
7,15,2.7,1,4,0,1,12,0,5,1,1,2,0
8,15,2.8,1,1,0,1,9,1,1,1,1,3,0
9,15,3.8,1,2,0,1,10,1,2,1,1,4,0
10,15,3.8,1,3,0,1,14,0,8,1,1,0,0
11,15,4.0,1,4,0,1,9,1,6,1,1,1,0
12,15,4.9,1,2,0,1,14,1,4,1,1,1,0
13,15,4.9,1,2,0,1,12,0,6,1,1,2,0
14,15,5.0,1,1,0,1,10,0,3,1,1,4,0
15,15,5.1,1,2,0,1,12,0,3,1,1,0,0
16,15,5.5,1,3,0,1,12,1,3,1,1,2,0
17,15,5.6,1,4,0,1,12,1,5,1,1,0,0
18,15,5.9,1,3,0,1,12,1,8,1,1,5,0
19,15,5.9,1,5,0,1,15,1,1,1,1,5,0
20,15,6.2,1,4,0,1,14,1,3,1,1,3,0
21,15,6.3,1,1,0,1,15,0,8,1,1,3,0
22,15,6.4,1,5,0,1,10,0,7,1,1,1,0
23,15,6.5,1,3,0,1,10,0,2,1,1,6,0
24,15,6.5,1,4,0,1,11,1,5,1,1,6,0
25,15,6.6,1,4,0,1,10,0,5,1,1,0,0
26,15,6.8,1,5,0,1,14,1,5,1,1,1,0
27,15,8.2,1,3,0,1,11,1,7,1,1,0,0
28,15,8.7,1,3,0,1,12,1,7,1,1,7,0
29,15,8.7,1,3,0,1,11,1,7,1,1,6,0
30,15,8.9,1,2,0,1,15,0,1,1,1,5,0
31,15,9.1,1,2,0,1,11,0,2,1,1,1,0
32,15,9.3,1,2,0,1,12,0,8,1,1,5,0
33,15,9.4,1,4,0,1,11,0,4,1,1,1,0
34,15,9.8,1,4,0,1,12,0,3,1,1,1,0
35,15,10.1,1,4,0,1,12,0,7,1,1,10,0
36,15,10.3,1,5,0,1,14,0,6,1,1,1,0
37,15,10.7,1,2,0,1,13,1,6,1,1,7,0
38,15,11.5,1,4,0,1,15,1,4,1,1,7,0
39,15,11.6,1,2,0,1,11,0,8,1,1,1,0
40,15,11.9,1,3,0,1,12,1,3,1,1,1,0
