,age,income,spendscore,labels
0,19,15,39,1
1,21,15,81,1
2,20,16,6,0
3,23,16,77,1
4,31,17,40,0
5,22,17,76,1
6,35,18,6,0
7,23,18,94,1
8,64,19,3,0
9,30,19,72,1
10,67,19,14,0
11,35,19,99,1
12,58,20,15,0
13,24,20,77,1
14,37,20,13,0
15,22,20,79,1
16,35,21,35,0
17,20,21,66,1
18,52,23,29,0
19,35,23,98,1
20,35,24,35,0
21,25,24,73,1
22,46,25,5,0
23,31,25,73,1
24,54,28,14,0
25,29,28,82,1
26,45,28,32,0
27,35,28,61,1
28,40,29,31,0
29,23,29,87,1
30,60,30,4,0
31,21,30,73,1
32,53,33,4,0
33,18,33,92,1
34,49,33,14,0
35,21,33,81,1
36,42,34,17,0
37,30,34,73,1
38,36,37,26,0
39,20,37,75,1
40,65,38,35,0
41,24,38,92,1
42,48,39,36,0
43,31,39,61,1
44,49,39,28,0
45,24,39,65,1
46,50,40,55,0
47,27,40,47,0
48,29,40,42,0
49,31,40,42,0
50,49,42,52,0
51,33,42,60,1
52,31,43,54,0
53,59,43,60,0
54,50,43,45,0
55,47,43,41,0
56,51,44,50,0
57,69,44,46,0
58,27,46,51,0
59,53,46,46,0
60,70,46,56,0
61,19,46,55,1
62,67,47,52,0
63,54,47,59,0
64,63,48,51,0
65,18,48,59,1
66,43,48,50,0
67,68,48,48,0
68,19,48,59,1
69,32,48,47,0
70,70,49,55,0
71,47,49,42,0
72,60,50,49,0
73,60,50,56,0
74,59,54,47,0
75,26,54,54,0
76,45,54,53,0
77,40,54,48,0
78,23,54,52,0
79,49,54,42,0
80,57,54,51,0
81,38,54,55,0
82,67,54,41,0
83,46,54,44,0
84,21,54,57,0
85,48,54,46,0
86,55,57,58,0
87,22,57,55,0
88,34,58,60,0
89,50,58,46,0
90,68,59,55,0
91,18,59,41,0
92,48,60,49,0
93,40,60,40,0
94,32,60,42,0
95,24,60,52,0
96,47,60,47,0
97,27,60,50,0
98,48,61,42,0
99,20,61,49,0
100,23,62,41,0
101,49,62,48,0
102,67,62,59,0
103,26,62,55,0
104,49,62,56,0
105,21,62,42,0
106,66,63,50,0
107,54,63,46,0
108,68,63,43,0
109,66,63,48,0
110,65,63,52,0
111,19,63,54,0
112,38,64,42,0
113,19,64,46,0
114,18,65,48,0
115,19,65,50,0
116,63,65,43,0
117,49,65,59,0
118,51,67,43,0
119,50,67,57,0
120,27,67,56,0
121,38,67,40,0
122,40,69,58,0
123,39,69,91,2
124,23,70,29,3
125,31,70,77,2
126,43,71,35,0
127,40,71,95,2
128,59,71,11,3
129,38,71,75,2
130,47,71,9,3
131,39,71,75,2
132,25,72,34,3
133,31,72,71,2
134,20,73,5,3
135,29,73,88,2
136,44,73,7,3
137,32,73,73,2
138,19,74,10,3
139,35,74,72,2
140,57,75,5,3
141,32,75,93,2
142,28,76,40,3
143,32,76,87,2
144,25,77,12,3
145,28,77,97,2
146,48,77,36,3
147,32,77,74,2
148,34,78,22,3
149,34,78,90,2
150,43,78,17,3
151,39,78,88,2
152,44,78,20,3
153,38,78,76,2
154,47,78,16,3
155,27,78,89,2
156,37,78,1,3
157,30,78,78,2
158,34,78,1,3
159,30,78,73,2
160,56,79,35,3
161,29,79,83,2
162,19,81,5,3
163,31,81,93,2
164,50,85,26,3
165,36,85,75,2
166,42,86,20,3
167,33,86,95,2
168,36,87,27,3
169,32,87,63,2
170,40,87,13,3
171,28,87,75,2
172,36,87,10,3
173,36,87,92,2
174,52,88,13,3
175,30,88,86,2
176,58,88,15,3
177,27,88,69,2
178,59,93,14,3
179,35,93,90,2
180,37,97,32,3
181,32,97,86,2
182,46,98,15,3
183,29,98,88,2
184,41,99,39,3
185,30,99,97,2
186,54,101,24,3
187,28,101,68,2
188,41,103,17,3
189,36,103,85,2
190,34,103,23,3
191,32,103,69,2
192,33,113,8,3
193,38,113,91,2
194,47,120,16,3
195,35,120,79,2
196,45,126,28,3
197,32,126,74,2
198,32,137,18,3
199,30,137,83,2
