,CreateAt,TweetText
0,2022-05-04 17:08:48+00:00,"Nigerian market extends bullish trend, Grows further by 0.98% - https://t.co/z4iaH8xACM #nse #nigeriastockexchange… https://t.co/stR94xswII"
1,2022-05-04 17:06:47+00:00,"RT @BadTraderr: NIFTY DATA 
@Amit_Gulecha
@Derzuschauer7
@arabicatrader
@JustNifty
@indian_stockss
@komal_quirky
@DiscretePriti
@nitinmurar…"
2,2022-05-04 17:06:36+00:00,"Very Personal opinion.
If anyone holding Brokerage firms like #AngelOne,You can book profit or loss but Please clos… https://t.co/cEI9T6RznB"
3,2022-05-04 17:04:20+00:00,RT @shinyrudberg: my soft boy &lt;333333 https://t.co/rnyPscjXUZ
4,2022-05-04 17:04:08+00:00,@warwickesports @nse_gg Warwick too strong 😤😤😤
5,2022-05-04 17:02:05+00:00,@elonmusk Futter ! #TwitterCEO #NSE #happiness #JoeBiden
6,2022-05-04 17:01:02+00:00,"Network Security Expert  (NSE)

Happy to announce that I have achieved my first goal in my Cyber Security journey! https://t.co/xuag11HwTS"
7,2022-05-04 17:00:47+00:00,@IamThatIam_____ You are referring to BSE. Whereas I use NSE the bigger exchange. Check in yahoo finance the NSE values.
8,2022-05-04 17:00:45+00:00,RT @harrydailyposts: this is harry styles’ year. we’re only at the beginning. https://t.co/Dc4I7Gx2BV
9,2022-05-04 17:00:24+00:00,RT @wilmon_forever: SO HE WAS THERE!! 🫢 https://t.co/u58izhL7XL
10,2022-05-04 17:00:06+00:00,RT @wilmonsintheair: He is so cute 😭😭 but he should rest a bit https://t.co/XzEp4oYob8
11,2022-05-04 16:59:46+00:00,"@WILLEXXMERCER @AliceOseman @joelocke03 @kit_connor Omg, so beautiful"
12,2022-05-04 16:59:32+00:00,"RT @BadTraderr: NIFTY DATA 
@Amit_Gulecha
@Derzuschauer7
@arabicatrader
@JustNifty
@indian_stockss
@komal_quirky
@DiscretePriti
@nitinmurar…"
13,2022-05-04 16:59:02+00:00,"RT @nse_gg: The competition has been fierce, but one university has dominated the points table once again...

🏆Esports University of the Ye…"
14,2022-05-04 16:58:42+00:00,RT @WILLEXXMERCER: boredom struck so i doodled https://t.co/ijNx9n1mjW
15,2022-05-04 16:58:37+00:00,RT @kuwmanurios: 📷 — @Anitta doing what had to be done at the #metgalaafterparty #metgala #metgala2022 https://t.co/H8PgMZblAo
16,2022-05-04 16:58:24+00:00,@AdamSalNorth Err..NSE...New School Evolution 😆
17,2022-05-04 16:58:16+00:00,@Mezzileroy @CallmeNonye @FirstMallam I also believe Nse is perfect for it as well.. She has that effortless ‘dark side!’
18,2022-05-04 16:57:32+00:00,Hyderabad is regarded as the life sciences capital of India and an important life sciences hub in Asia Pacific. Wit… https://t.co/5brOZamjRO
19,2022-05-04 16:57:29+00:00,"RT @warwickesports: BACK-2-BACK-2-BACK-2-BACK!!

Hugeee thank you to @nse_gg for running the BUEC so well and to our amazing community memb…"
20,2022-05-04 16:57:22+00:00,RT @love4nicknelson: when you are supposed to just be the supportive straight friend but suddenly your bestie looks cuddly https://t.co/02r…
21,2022-05-04 16:57:03+00:00,@mageofjustic @nse_gg bro it's backwards
22,2022-05-04 16:56:36+00:00,@warwickesports @nse_gg Remaining where it belongs! https://t.co/Phj7w8dRip
23,2022-05-04 16:56:31+00:00,RT @agneswilmon: bringing this back to cleanse my tl of short hair truthers https://t.co/dQizwklcMD
24,2022-05-04 16:56:24+00:00,@Savisdead2 @nse_gg no other option ❌
25,2022-05-04 16:55:57+00:00,"RT @warwickesports: BACK-2-BACK-2-BACK-2-BACK!!

Hugeee thank you to @nse_gg for running the BUEC so well and to our amazing community memb…"
26,2022-05-04 16:55:51+00:00,@warwickesports @nse_gg Win-win-win-win no matter what!
27,2022-05-04 16:55:26+00:00,@mageofjustic @nse_gg ofc ofc ofc
28,2022-05-04 16:55:17+00:00,"Sebi sleeping on this fraud done by promoter,uniply decor and uniply are the same and he’s siphoning off public fun… https://t.co/Wam9692FUC"
29,2022-05-04 16:54:43+00:00,@UopEsports @nse_gg @IntelUK @MonsterEnergyUK @BarclaysGames @PCSpecialist @BUCSsport @LSUEsports @DurhamEsports… https://t.co/9rCMozmL2G
30,2022-05-04 16:54:14+00:00,"Good day today!

#nifty #banknifty #trading #profit #intraday #nse #stockmarketindia #stockmarket https://t.co/23Tsxe0vUS"
31,2022-05-04 16:54:05+00:00,@warwickesports @nse_gg @IntelUK @MonsterEnergyUK @BarclaysGames @PCSpecialist @BUCSsport @LSUEsports… https://t.co/MZsqrACBd1
32,2022-05-04 16:53:59+00:00,@warwickesports @nse_gg We're just too good! Looking forward to the jerseys to celebrate this!
33,2022-05-04 16:53:16+00:00,@UopEsports @nse_gg @IntelUK @MonsterEnergyUK @BarclaysGames @PCSpecialist @BUCSsport @LSUEsports @DurhamEsports @UCLGaming LMAO bet
34,2022-05-04 16:53:13+00:00,"RT @warwickesports: BACK-2-BACK-2-BACK-2-BACK!!

Hugeee thank you to @nse_gg for running the BUEC so well and to our amazing community memb…"
35,2022-05-04 16:53:02+00:00,"RT @warwickesports: BACK-2-BACK-2-BACK-2-BACK!!

Hugeee thank you to @nse_gg for running the BUEC so well and to our amazing community memb…"
36,2022-05-04 16:52:45+00:00,"BACK-2-BACK-2-BACK-2-BACK!!

Hugeee thank you to @nse_gg for running the BUEC so well and to our amazing community… https://t.co/5FryKaCJRS"
37,2022-05-04 16:52:42+00:00,"Investors lost Rs 6.1 lakh cr of wealth after RBI's surprise repo rate hike

#stockmarket #stockmarkettraining… https://t.co/QEYg3SBVsc"
38,2022-05-04 16:52:38+00:00,"RT @nse_gg: The competition has been fierce, but one university has dominated the points table once again...

🏆Esports University of the Ye…"
39,2022-05-04 16:52:04+00:00,Nifty May futures trade at premium The NSE India Vix surged 7.86% to 21.88 #General News by #BusinessStandard https://t.co/PediweC78V
40,2022-05-04 16:51:32+00:00,@nse_gg @warwickesports @IntelUK @MonsterEnergyUK @BarclaysGames @PCSpecialist @BUCSsport @LSUEsports… https://t.co/uKWgSdQBJF
41,2022-05-04 16:51:20+00:00,"RT @nse_gg: The competition has been fierce, but one university has dominated the points table once again...

🏆Esports University of the Ye…"
42,2022-05-04 16:51:09+00:00,RT @WillisOwiti: @NSE_Investors @AdoyoEvans @coldtusker @cheruiyotkb @oloojl @ChiboliS @mtucreativity @mgenge_kamili There's room for a sli…
43,2022-05-04 16:51:02+00:00,"The competition has been fierce, but one university has dominated the points table once again...

🏆Esports Universi… https://t.co/zPkKqj54jK"
44,2022-05-04 16:49:59+00:00,"Wednesday Wisdom

#gst #india #financialliteracy #wednesday #gstn #reservebankofindia #reporate #lic #ipo… https://t.co/gI0hlouRFI"
45,2022-05-04 16:48:45+00:00,"OI analysis of #Banknifty constituents (May 2022 Series), 04/05/2022 #NSE #stockmarkets
#yashasinfinite https://t.co/PFXguflUo7"
46,2022-05-04 16:46:24+00:00,"RT @moatbusiness: My top 10stocks for the coming decade are based on future potential&amp;not based on past performance.
• Kotak Bank
• Pidilli…"
47,2022-05-04 16:46:04+00:00,@WillisOwiti @NSE_Investors @AdoyoEvans @coldtusker @cheruiyotkb @oloojl @ChiboliS @mtucreativity Agreed
48,2022-05-04 16:45:00+00:00,RT SweepCast 🦍 Unusual Options Observed : $UAN with our scanner on $115 CALL Expiring: 05/20/2022 worth 28K🐂  Start… https://t.co/lY3IqAPT4G
49,2022-05-04 16:42:16+00:00,@NSE_Investors @AdoyoEvans @coldtusker @cheruiyotkb @oloojl @ChiboliS @mtucreativity @mgenge_kamili There's room fo… https://t.co/aSVtdvbwH2
50,2022-05-04 16:41:07+00:00,@djdougze @NSE_Investors @AdoyoEvans @coldtusker @cheruiyotkb @oloojl @ChiboliS @mtucreativity @mgenge_kamili At ks… https://t.co/usF8xcCrDS
