,txt,score
0,"Ukraine accused China’s DJI — the world’s leading drone maker — of letting Russia target innocent civilians with missiles using DJI drone technology. But DJI AeroScope, the technology in question, isn’t about missiles.",0.0258
1,Russian Etsy shops selling cross-stitch patterns and supplies were suspended as part of a platform-wide ban on Russian merchants. American cross-stitchers are finding out the hard way that designers are concentrated in Russia.,-0.7964
2,"President Joe Biden says US companies should ""immediately"" prepare defences.",-0.0516
3,"As tensions with Russia rise, fears mount that North America's isolated Arctic may be vulnerable",-0.8271
4,India has offered support to Russia over Ukraine but is under pressure from other countries.,-0.2382
5,"In Finland, which borders Russia, some young people are worried the Ukraine conflict could spread.",-0.5423
6,"Fears that Russia wants to starve Mariupol into surrender, and a young soldier isolated from his family is buried.",-0.7906
7,"Russia says it will focus on the east, Biden meets US troops and Putin cites JK Rowling in a speech.",0.3885
8,Nato's statement comes after Russia said it would 'radically' reduce its military activity around the capital Kyiv.,0.0
9,Russia is spreading untruths about Nazis in Ukraine - one of Putin's justifications for his invasion.,0.0
10,"The US President has made a series of unscripted remarks this week, souring US-Russia relations.",0.0
11,"Russia claims a Ukrainian helicopter raid set fuel tanks ablaze in Belgorod, a Russian city.",0.0
12,"City's governor says Russian forces bombarded the city overnight, despite pledge to reduce attacks.",-0.4404
13,"As casualties mount, Moscow identifies the main aim of the invasion to ""liberate"" eastern Ukraine.",0.0
14,"Anatoly Chubais, who was a special international envoy of the president, is said to have left Russia.",0.4019
15,"WNBA star Brittney Griner is said to be in ""good condition"" after being detained in Russia on drug charges.",-0.2263
16,"With Russia still a powerful force, wide-eyed realism is what Ukraine needs from the US and Europe.",0.4215
17,"Day 37 saw Russia accuse Ukraine of bombing an oil facility on its territory, and the BBC witnessed possible evidence of war crimes.",-0.6908
18,Residents of the historic city on Ukraine's coast are confident it will not fall to Russian forces.,0.4939
19,"On March 30th, NASA astronaut Mark Vande Hei will come back to Earth after a year-long stay aboard the International Space Station, returning home in a Russian Soyuz rocket. His journey back to Earth has been an ongoing concern amid Russia’s invasion of Ukrai…",0.0258
