,Unnamed: 0,txt,score
0,0,RT @Talkativedollar: #Reliance Industries executes an agreement to acquire 40% stake in Sterling &amp; Wilson from Shapoorji Pallonji worth Rs…,0.6249
1,1,#Reliance Industries executes an agreement to acquire 40% stake in Sterling &amp; Wilson from Shapoorji Pallonji worth… https://t.co/4BNdO4NNw3,0.4939
2,2,"RT @MeyyappanPl1: During Jan 2008 equity crash

#Reliance industries invested 500Cr
In #Asianpaints for 4.9% stake.
Still holding them stro…",-0.4019
3,3,"Hello Investors,
Detailed analysis on Reliance Industries for investment. Hope this helps

https://t.co/thPpEJfs5n",0.7096
4,4,India made batteries by using sea water |  Reliance Industries to acquir... https://t.co/DM2drHzsuN via @YouTube,0.0
5,5,"Hey folks, here's a quick roundup of today's top stories:

💰GM Breweries Q3 numbers were a major disappointment 
💸R… https://t.co/uTg7m09byl",-0.3612
6,6,"RT @smvvedu: Reliance Industries gained 1.01% to Rs 2,441.10 after the company's arm Reliance Retail purchased 25.8% stake in Dunzo

#share…",0.3818
7,7,"RT @FinancialXpress: Reliance Industries, Titan, HCL Tech, Adani Enterprises, Zee Learn, Colgate, Wockhardt stocks in focus 
#RelianceIndus…",0.0
8,8,"RT @smvvedu: Reliance Industries gained 1.01% to Rs 2,441.10 after the company's arm Reliance Retail purchased 25.8% stake in Dunzo

#share…",0.3818
9,9,@_MukeshAmbani - why not create a safari park rather than trapping innocent animals for human pleasure. Zoos are a… https://t.co/gr9tlaFZFm,0.647
10,10,Acquisition Spree of Reliance Industries continues https://t.co/moGX20PTnY,0.0
11,11,"#Reliance Industries (RIL) rose 0.80%. The company's arm Reliance Retail purchased 25.8% stake in Dunzo. Dunzo, Ind… https://t.co/8hwjCf86vD",0.0
12,12,"RT @SahilKapoor: This worked in favour of Rupee- 

-Reliance Industries mopping up $4 billion through  foreign currency bonds issuance.
-Th…",0.4404
13,13,"Equity benchmark #Sensex rebounded 143 points on Friday, boosted by gains in index majors #Reliance Industries,… https://t.co/4McIMJycPx",0.8442
14,14,"RT @CNBCTV18Live: #JustIN | Reliance Industries executes an agreement to acquire 40% in Sterling &amp; Wilson from Shapoorji Pallonji    

▶️Ac…",0.4939
15,15,"Equity benchmark #Sensex rebounded 143 points on Friday, boosted by gains in index majors Reliance Industries, TCS… https://t.co/US9NHhEHgp",0.8442
16,16,"RT @smvvedu: Reliance Industries gained 1.01% to Rs 2,441.10 after the company's arm Reliance Retail purchased 25.8% stake in Dunzo

#share…",0.3818
17,17,"RT @CNBCTV18Live: #JustIN | Reliance Industries executes an agreement to acquire 40% in Sterling &amp; Wilson from Shapoorji Pallonji    

▶️Ac…",0.4939
18,18,RT @VikashSharmaIB: #WaahZindagi_Swadeshi_film The ‘Make in India’ campaign is playing a significant role in boosting the domestic manufact…,0.6124
19,19,"RT @BigBreakingNow: Reliance Industries Block Deals
https://t.co/vGWmb8OCfj

Vodafone Idea Block Deals
https://t.co/ox4p7Fj7MY

#Bitcoin Bi…",-0.7003
20,20,"RT @CNBCTV18Live: #JustIN | Reliance Industries executes an agreement to acquire 40% in Sterling &amp; Wilson from Shapoorji Pallonji    

▶️Ac…",0.4939
21,21,Reliance Industries (RIL) share price rose in early trading on Januar y 7 after the company's subsidiary Reliance R… https://t.co/63FtYTwKds,0.296
22,22,"There are things you can criticise Reliance Industries on, but this is not one of them. when interest rates are abo… https://t.co/QYREJSWoFw",0.4678
23,23,"Reliance Industries: A generational leap
India Today
https://t.co/k1pavAmN2P",0.0
24,24,"RT @CNBCTV18Live: #JustIN | Reliance Industries executes an agreement to acquire 40% in Sterling &amp; Wilson from Shapoorji Pallonji    

▶️Ac…",0.4939
25,25,"RT @smvvedu: Reliance Industries gained 1.01% to Rs 2,441.10 after the company's arm Reliance Retail purchased 25.8% stake in Dunzo

#share…",0.3818
26,26,"The apes were originally self sufficient, over time they were introduced to convenience reducing their reliance on… https://t.co/rLPq3FtG6A",0.0
27,27,The U.S. company successfully used the terms of its 2019 investment in a Future unit to block the #Indian retailer'… https://t.co/VlcaYjd3mf,0.0772
28,28,"RT @BigBreakingNow: Reliance Industries

Another block of 57,910 shares at 2413 worth 13.97 crore rupees

Checkout our website for all the…",0.0516
29,29,Reliance Industries' $4 billion foreign currency bonds is the biggest ever #business #news l https://t.co/S6DvAJnQBi https://t.co/vhqjR7bnlm,0.0
30,30,"Reliance Industries

Another block of 57,910 shares at 2413 worth 13.97 crore rupees

Checkout our website for all… https://t.co/QkeeyUuygP",0.0516
31,31,"RT @smvvedu: Reliance Industries gained 1.01% to Rs 2,441.10 after the company's arm Reliance Retail purchased 25.8% stake in Dunzo

#share…",0.3818
32,32,"Reliance Industries rises after arm buys stake in Dunzo Reliance Industries gained 1.01% to Rs 2,441.10 after the c… https://t.co/2GKPlR9PdF",0.3818
33,33,"52-week highs, 52-week lows: Titan, Asian Paints among stocks to hit 52-week high, Paytm, Policybazaar hit fresh lo… https://t.co/AVxcNh7eHW",0.128
34,34,"Reliance Raises $4 Billion In Foreign Currency Bonds Issue

Reliance Industries Limited on Thursday said it has rai… https://t.co/lLflFbnBjQ",-0.2263
35,35,Reliance Industries's $4billion foreign currencybonds issue is India's biggest https://t.co/W2eFtWa5Eh,0.0
36,36,"Reliance Industries

Another block of 50,050 shares at 2430 worth 12.16 crore rupees

Checkout our website for all… https://t.co/zoPlYftFTp",0.0516
