,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness,labels
0,1,0,0,4,5,0,0,0,7,1,0,2,5,4,8,5,1.0
1,7,1,0,4,6,1,1,3,5,0,2,8,10,6,4,3,0.0
2,0,0,0,4,7,0,2,1,1,1,0,4,2,7,8,2,1.0
3,0,0,0,4,1,1,0,2,1,0,0,9,3,4,10,5,1.0
4,4,0,0,4,10,0,1,0,6,1,0,7,1,6,7,4,1.0
5,10,2,0,4,7,0,0,3,8,0,2,10,6,4,2,10,2.0
6,0,0,0,4,3,0,0,1,7,1,0,9,4,3,3,1,1.0
7,1,0,0,4,7,1,1,2,4,0,0,9,1,5,10,2,1.0
8,6,0,0,4,7,0,2,0,4,1,0,5,5,10,1,1,1.0
9,9,2,0,4,5,0,2,3,10,0,2,7,10,7,7,8,2.0
10,4,0,0,4,9,0,1,1,4,1,0,10,1,1,1,6,1.0
11,8,1,1,4,1,1,2,2,7,0,0,6,2,1,7,3,1.0
12,2,0,0,4,4,0,0,0,3,1,0,9,3,6,6,3,1.0
13,7,1,0,4,9,1,1,3,1,0,2,9,3,9,8,7,1.0
14,6,0,0,4,3,0,2,1,7,1,0,7,8,5,2,9,2.0
15,6,0,0,4,10,1,0,2,3,0,0,10,5,8,5,4,1.0
16,6,0,0,4,3,0,1,0,5,1,0,10,2,6,10,4,1.0
17,2,0,0,4,5,1,2,3,4,0,0,4,4,10,4,8,1.0
18,4,0,0,4,4,0,0,1,4,1,0,10,2,7,6,4,1.0
19,3,0,0,4,4,1,1,2,5,0,0,10,9,8,8,3,0.0
20,8,1,1,4,8,0,2,0,4,1,0,4,7,6,6,6,2.0
21,0,0,1,4,10,1,0,3,4,0,1,10,9,5,1,6,0.0
22,5,0,1,4,2,0,1,1,1,1,1,10,1,3,9,4,1.0
23,10,2,0,4,7,0,0,2,10,0,1,10,9,5,4,8,2.0
24,0,0,1,4,1,0,0,0,2,1,1,9,10,5,3,3,0.0
25,1,0,1,4,3,1,1,3,6,0,1,9,7,5,4,4,0.0
26,1,0,0,4,10,0,2,1,4,1,0,5,6,2,1,2,0.0
27,9,2,0,4,5,0,0,2,10,0,2,10,5,10,5,10,2.0
28,10,2,1,4,4,0,0,0,9,1,2,9,2,7,5,9,2.0
